pod,locked_version,direct_pod_declaration,local_source,dependencies
EXConstants,57.0.17,True,,ExpoModulesCore
EXJSONUtils,57.0.1,True,,
EXManifests,57.0.1,True,,ExpoModulesCore
Expo,57.0.20,True,,ExpoModulesCore; ExpoModulesJSI; hermes-engine; RCTRequired; RCTTypeSafety; React-Core; React-Core-prebuilt; React-debug; React-Fabric; React-featureflags; React-graphics; React-ImageManager; React-jsi; React-NativeModulesApple; React-RCTAppDelegate; React-RCTFabric; React-renderercss; React-rendererdebug; React-utils; ReactAppDependencyProvider; ReactCodegen; ReactCommon/turbomodule/bridging; ReactCommon/turbomodule/core; ReactNativeDependencies; Yoga
expo-dev-client,57.0.18,True,,EXManifests; expo-dev-launcher; expo-dev-menu; expo-dev-menu-interface; EXUpdatesInterface
expo-dev-launcher,57.0.19,True,,EXManifests; expo-dev-launcher/Main (= 57.0.19); expo-dev-menu; expo-dev-menu-interface; ExpoModulesCore; EXUpdatesInterface; hermes-engine; RCTRequired; RCTTypeSafety; React-Core; React-Core-prebuilt; React-debug; React-Fabric; React-featureflags; React-graphics; React-ImageManager; React-jsi; React-jsinspector; React-NativeModulesApple; React-RCTAppDelegate; React-RCTFabric; React-renderercss; React-rendererdebug; React-utils; ReactAppDependencyProvider; ReactCodegen; ReactCommon/turbomodule/bridging; ReactCommon/turbomodule/core; ReactNativeDependencies; Yoga
expo-dev-launcher/Main,57.0.19,True,,EXManifests; expo-dev-launcher/Unsafe; expo-dev-menu; expo-dev-menu-interface; ExpoModulesCore; EXUpdatesInterface; hermes-engine; RCTRequired; RCTTypeSafety; React-Core; React-Core-prebuilt; React-debug; React-Fabric; React-featureflags; React-graphics; React-ImageManager; React-jsi; React-jsinspector; React-NativeModulesApple; React-RCTAppDelegate; React-RCTFabric; React-renderercss; React-rendererdebug; React-utils; ReactAppDependencyProvider; ReactCodegen; ReactCommon/turbomodule/bridging; ReactCommon/turbomodule/core; ReactNativeDependencies; Yoga
expo-dev-launcher/Unsafe,57.0.19,True,,EXManifests; expo-dev-menu; expo-dev-menu-interface; ExpoModulesCore; EXUpdatesInterface; hermes-engine; RCTRequired; RCTTypeSafety; React-Core; React-Core-prebuilt; React-debug; React-Fabric; React-featureflags; React-graphics; React-ImageManager; React-jsi; React-jsinspector; React-NativeModulesApple; React-RCTAppDelegate; React-RCTFabric; React-renderercss; React-rendererdebug; React-utils; ReactAppDependencyProvider; ReactCodegen; ReactCommon/turbomodule/bridging; ReactCommon/turbomodule/core; ReactNativeDependencies; Yoga
expo-dev-menu,57.0.18,True,,expo-dev-menu/Main (= 57.0.18); hermes-engine; RCTRequired; RCTTypeSafety; React-Core; React-Core-prebuilt; React-debug; React-Fabric; React-featureflags; React-graphics; React-ImageManager; React-jsi; React-NativeModulesApple; React-RCTFabric; React-renderercss; React-rendererdebug; React-utils; ReactCodegen; ReactCommon/turbomodule/bridging; ReactCommon/turbomodule/core; ReactNativeDependencies; Yoga
expo-dev-menu-interface,57.0.0,True,,
expo-dev-menu/Main,57.0.18,True,,EXManifests; expo-dev-menu-interface; ExpoModulesCore; hermes-engine; RCTRequired; RCTTypeSafety; React-Core; React-Core-prebuilt; React-debug; React-Fabric; React-featureflags; React-graphics; React-ImageManager; React-jsi; React-jsinspector; React-NativeModulesApple; React-RCTFabric; React-renderercss; React-rendererdebug; React-utils; ReactCodegen; ReactCommon/turbomodule/bridging; ReactCommon/turbomodule/core; ReactNativeDependencies; Yoga
ExpoAsset,57.0.16,True,,ExpoModulesCore
ExpoBlur,57.0.2,True,,ExpoModulesCore
ExpoDocumentPicker,57.0.1,True,,ExpoModulesCore
ExpoDomWebView,57.0.1,True,,ExpoModulesCore
ExpoFileSystem,57.0.6,True,,ExpoModulesCore
ExpoFont,57.0.3,True,,ExpoModulesCore
ExpoGlassEffect,57.0.1,True,,ExpoModulesCore
ExpoHaptics,57.0.2,True,,ExpoModulesCore
ExpoImage,57.0.4,True,,ExpoModulesCore; libavif/libdav1d; SDWebImage (~> 5.21.0); SDWebImageAVIFCoder (~> 0.11.0); SDWebImageSVGCoder (~> 1.7.0); SDWebImageWebPCoder (~> 0.14.6)
ExpoImagePicker,57.0.16,True,,ExpoModulesCore
ExpoKeepAwake,57.0.1,True,,ExpoModulesCore
ExpoLinearGradient,57.0.1,True,,ExpoModulesCore
ExpoLinking,57.0.9,True,,ExpoModulesCore
ExpoLocalization,57.0.1,True,,ExpoModulesCore
ExpoLogBox,57.0.4,True,,React-Core
ExpoModulesCore,57.0.16,True,,ExpoModulesJSI; hermes-engine; RCTRequired; RCTTypeSafety; React-Core; React-Core-prebuilt; React-debug; React-Fabric; React-featureflags; React-graphics; React-ImageManager; React-jsi; React-jsinspector; React-NativeModulesApple; React-RCTFabric; React-renderercss; React-rendererdebug; React-utils; ReactCodegen; ReactCommon/turbomodule/bridging; ReactCommon/turbomodule/core; ReactNativeDependencies; Yoga
ExpoModulesJSI,57.0.8,True,,React-Core; ReactCommon
ExpoModulesWorklets,57.0.16,True,,ExpoModulesCore; ExpoModulesJSI
ExpoModulesWorkletsAdapter,57.0.16,True,,ExpoModulesCore; ExpoModulesJSI; ExpoModulesWorklets; RNWorklets
ExpoRouter,57.0.19,True,,ExpoModulesCore; RNScreens
ExpoShareIntentModule,8.0.1,True,,ExpoModulesCore
ExpoSplashScreen,57.0.8,True,,ExpoModulesCore
ExpoSymbols,57.0.2,True,,ExpoModulesCore
ExpoUI,57.0.16,True,,ExpoModulesCore; ExpoModulesWorklets; React-RCTFabric
EXUpdatesInterface,57.0.1,True,,ExpoModulesCore
FBLazyVector,0.86.3,True,,
hermes-engine,250829098.0.17,True,,hermes-engine/Pre-built (= 250829098.0.17)
hermes-engine/Pre-built,250829098.0.17,True,,
ImageColors,2.6.0,True,,ExpoModulesCore; SwiftDraw (~> 0.27)
libavif/core,1.0.0,False,,
libavif/libdav1d,1.0.0,False,,libavif/core; libdav1d (>= 0.6.0)
libdav1d,1.2.0,False,,
libwebp,1.6.0,False,,libwebp/demux (= 1.6.0); libwebp/mux (= 1.6.0); libwebp/sharpyuv (= 1.6.0); libwebp/webp (= 1.6.0)
libwebp/demux,1.6.0,False,,libwebp/webp
libwebp/mux,1.6.0,False,,libwebp/demux
libwebp/sharpyuv,1.6.0,False,,
libwebp/webp,1.6.0,False,,libwebp/sharpyuv
LoaderKit,4.1.0,True,,hermes-engine; RCTRequired; RCTTypeSafety; React-Core; React-Core-prebuilt; React-debug; React-Fabric; React-featureflags; React-graphics; React-ImageManager; React-jsi; React-NativeModulesApple; React-RCTFabric; React-renderercss; React-rendererdebug; React-utils; ReactCodegen; ReactCommon/turbomodule/bridging; ReactCommon/turbomodule/core; ReactNativeDependencies; Yoga
MMKVCore,2.4.0,False,,
Mute,0.6.1,False,,
