original_path,backup_relative_path,git_candidate_files,git_candidate_bytes
.trellis/tasks/09-05-rn-expo-new-architecture/research/incremental-checkpoint-20260908,retired-incremental-materials-20260909/research/incremental-checkpoint-20260908,9,146001
.trellis/tasks/09-05-rn-expo-new-architecture/research/sdk51-checkpoint.md,retired-incremental-materials-20260909/research/sdk51-checkpoint.md,1,18249
.trellis/tasks/09-05-rn-expo-new-architecture/research/sdk51-core-fixture.md,retired-incremental-materials-20260909/research/sdk51-core-fixture.md,1,11880
.trellis/tasks/09-05-rn-expo-new-architecture/research/sdk51-core-runtime.md,retired-incremental-materials-20260909/research/sdk51-core-runtime.md,1,4590
.trellis/tasks/09-05-rn-expo-new-architecture/research/sdk51-integration-review.md,retired-incremental-materials-20260909/research/sdk51-integration-review.md,1,16054
.trellis/tasks/09-05-rn-expo-new-architecture/research/sdk51-local-file-implementation.md,retired-incremental-materials-20260909/research/sdk51-local-file-implementation.md,1,11835
.trellis/tasks/09-05-rn-expo-new-architecture/research/sdk51-local-file-review.md,retired-incremental-materials-20260909/research/sdk51-local-file-review.md,1,7535
.trellis/tasks/09-05-rn-expo-new-architecture/research/sdk51-local-file-runtime.md,retired-incremental-materials-20260909/research/sdk51-local-file-runtime.md,1,7902
.trellis/tasks/09-05-rn-expo-new-architecture/research/sdk51-original-integration.md,retired-incremental-materials-20260909/research/sdk51-original-integration.md,1,13171
.trellis/tasks/09-05-rn-expo-new-architecture/research/sdk51-review.md,retired-incremental-materials-20260909/research/sdk51-review.md,1,16811
.trellis/tasks/09-05-rn-expo-new-architecture/research/sdk51-share-runtime.md,retired-incremental-materials-20260909/research/sdk51-share-runtime.md,1,7371
.trellis/tasks/09-05-rn-expo-new-architecture/research/sdk51-share-validation-plan.md,retired-incremental-materials-20260909/research/sdk51-share-validation-plan.md,1,25552
.trellis/tasks/09-05-rn-expo-new-architecture/research/sdk51-splash-diagnostic.md,retired-incremental-materials-20260909/research/sdk51-splash-diagnostic.md,1,11458
.trellis/tasks/09-05-rn-expo-new-architecture/research/sdk51-ui-observations.md,retired-incremental-materials-20260909/research/sdk51-ui-observations.md,1,3689
.trellis/tasks/09-05-rn-expo-new-architecture/research/sdk52-core-fixture.md,retired-incremental-materials-20260909/research/sdk52-core-fixture.md,1,9436
.trellis/tasks/09-05-rn-expo-new-architecture/research/sdk52-implementation.md,retired-incremental-materials-20260909/research/sdk52-implementation.md,1,29151
.trellis/tasks/09-05-rn-expo-new-architecture/research/sdk52-inspector-diagnosis.md,retired-incremental-materials-20260909/research/sdk52-inspector-diagnosis.md,1,6714
.trellis/tasks/09-05-rn-expo-new-architecture/research/sdk52-player-dismissal-diagnosis.md,retired-incremental-materials-20260909/research/sdk52-player-dismissal-diagnosis.md,1,8733
.trellis/tasks/09-05-rn-expo-new-architecture/research/sdk52-preparation.md,retired-incremental-materials-20260909/research/sdk52-preparation.md,1,27688
.trellis/tasks/09-05-rn-expo-new-architecture/research/sdk52-review,retired-incremental-materials-20260909/research/sdk52-review,447,134470442
.trellis/tasks/09-05-rn-expo-new-architecture/research/sdk52-review.md,retired-incremental-materials-20260909/research/sdk52-review.md,1,28079
.trellis/tasks/09-05-rn-expo-new-architecture/research/sdk52-runtime-evidence-review.json,retired-incremental-materials-20260909/research/sdk52-runtime-evidence-review.json,1,31256
.trellis/tasks/09-05-rn-expo-new-architecture/research/sdk52-runtime-evidence-review.md,retired-incremental-materials-20260909/research/sdk52-runtime-evidence-review.md,1,14744
.trellis/tasks/09-05-rn-expo-new-architecture/research/sdk52-runtime.md,retired-incremental-materials-20260909/research/sdk52-runtime.md,1,12673
.trellis/tasks/09-05-rn-expo-new-architecture/research/sdk52-share-ui-checkpoint.md,retired-incremental-materials-20260909/research/sdk52-share-ui-checkpoint.md,1,8090
.trellis/tasks/09-05-rn-expo-new-architecture/research/sdk53-animated-image-request-diagnostic.json,retired-incremental-materials-20260909/research/sdk53-animated-image-request-diagnostic.json,1,103181
.trellis/tasks/09-05-rn-expo-new-architecture/research/sdk53-animated-image-request-diagnostic.md,retired-incremental-materials-20260909/research/sdk53-animated-image-request-diagnostic.md,1,17651
.trellis/tasks/09-05-rn-expo-new-architecture/research/sdk53-cover-seed-adaptation.json,retired-incremental-materials-20260909/research/sdk53-cover-seed-adaptation.json,1,512
.trellis/tasks/09-05-rn-expo-new-architecture/research/sdk53-fixture-adaptation-final.json,retired-incremental-materials-20260909/research/sdk53-fixture-adaptation-final.json,1,6150
.trellis/tasks/09-05-rn-expo-new-architecture/research/sdk53-fixture-adaptation.json,retired-incremental-materials-20260909/research/sdk53-fixture-adaptation.json,1,7096
.trellis/tasks/09-05-rn-expo-new-architecture/research/sdk53-floating-image-fix.md,retired-incremental-materials-20260909/research/sdk53-floating-image-fix.md,1,6082
.trellis/tasks/09-05-rn-expo-new-architecture/research/sdk53-image-boundary-review.md,retired-incremental-materials-20260909/research/sdk53-image-boundary-review.md,1,18635
.trellis/tasks/09-05-rn-expo-new-architecture/research/sdk53-image-fixture-review.md,retired-incremental-materials-20260909/research/sdk53-image-fixture-review.md,1,41118
.trellis/tasks/09-05-rn-expo-new-architecture/research/sdk53-image-fixture-revision-01.json,retired-incremental-materials-20260909/research/sdk53-image-fixture-revision-01.json,1,19367
.trellis/tasks/09-05-rn-expo-new-architecture/research/sdk53-image-fixture-revision-02.json,retired-incremental-materials-20260909/research/sdk53-image-fixture-revision-02.json,1,1119
.trellis/tasks/09-05-rn-expo-new-architecture/research/sdk53-image-fixture-revision-03.json,retired-incremental-materials-20260909/research/sdk53-image-fixture-revision-03.json,1,4126
.trellis/tasks/09-05-rn-expo-new-architecture/research/sdk53-image-media-type-source-evidence.json,retired-incremental-materials-20260909/research/sdk53-image-media-type-source-evidence.json,1,10638
.trellis/tasks/09-05-rn-expo-new-architecture/research/sdk53-image-review,retired-incremental-materials-20260909/research/sdk53-image-review,3,28931
.trellis/tasks/09-05-rn-expo-new-architecture/research/sdk53-image-ui-checkpoint.md,retired-incremental-materials-20260909/research/sdk53-image-ui-checkpoint.md,1,7954
.trellis/tasks/09-05-rn-expo-new-architecture/research/sdk53-image-ui-video-review-derived,retired-incremental-materials-20260909/research/sdk53-image-ui-video-review-derived,473,32954023
.trellis/tasks/09-05-rn-expo-new-architecture/research/sdk53-image-ui-video-review.json,retired-incremental-materials-20260909/research/sdk53-image-ui-video-review.json,1,119295
.trellis/tasks/09-05-rn-expo-new-architecture/research/sdk53-image-ui-video-review.md,retired-incremental-materials-20260909/research/sdk53-image-ui-video-review.md,1,17461
.trellis/tasks/09-05-rn-expo-new-architecture/research/sdk53-implementation.md,retired-incremental-materials-20260909/research/sdk53-implementation.md,1,22859
.trellis/tasks/09-05-rn-expo-new-architecture/research/sdk53-preparation.md,retired-incremental-materials-20260909/research/sdk53-preparation.md,1,42034
.trellis/tasks/09-05-rn-expo-new-architecture/research/sdk53-reference,retired-incremental-materials-20260909/research/sdk53-reference,12541,170434744
.trellis/tasks/09-05-rn-expo-new-architecture/research/sdk53-review,retired-incremental-materials-20260909/research/sdk53-review,147,17507078
.trellis/tasks/09-05-rn-expo-new-architecture/research/sdk53-review.md,retired-incremental-materials-20260909/research/sdk53-review.md,1,19466
.trellis/tasks/09-05-rn-expo-new-architecture/research/sdk53-runtime-evidence-review.json,retired-incremental-materials-20260909/research/sdk53-runtime-evidence-review.json,1,35986
.trellis/tasks/09-05-rn-expo-new-architecture/research/sdk53-runtime-evidence-review.md,retired-incremental-materials-20260909/research/sdk53-runtime-evidence-review.md,1,7599
.trellis/tasks/09-05-rn-expo-new-architecture/research/sdk53-runtime-preparation.md,retired-incremental-materials-20260909/research/sdk53-runtime-preparation.md,1,8746
.trellis/tasks/09-05-rn-expo-new-architecture/research/sdk53-runtime.md,retired-incremental-materials-20260909/research/sdk53-runtime.md,1,9518
.trellis/tasks/09-05-rn-expo-new-architecture/research/sdk53-storage-fixture,retired-incremental-materials-20260909/research/sdk53-storage-fixture,6,64441
.trellis/tasks/09-05-rn-expo-new-architecture/research/sdk53-storage-migration.md,retired-incremental-materials-20260909/research/sdk53-storage-migration.md,1,24173
.trellis/tasks/09-05-rn-expo-new-architecture/research/sdk54-preparation.md,retired-incremental-materials-20260909/research/sdk54-preparation.md,1,38502
.trellis/tasks/09-05-rn-expo-new-architecture/research/sdk54-reference,retired-incremental-materials-20260909/research/sdk54-reference,13027,130048100
.trellis/tasks/09-05-rn-expo-new-architecture/research/sdk55-preparation.md,retired-incremental-materials-20260909/research/sdk55-preparation.md,1,38126
.trellis/tasks/09-05-rn-expo-new-architecture/research/sdk55-reference,retired-incremental-materials-20260909/research/sdk55-reference,11810,299553311
.trellis/tasks/09-05-rn-expo-new-architecture/research/sdk56-preparation.md,retired-incremental-materials-20260909/research/sdk56-preparation.md,1,36620
.trellis/tasks/09-05-rn-expo-new-architecture/research/sdk56-reference,retired-incremental-materials-20260909/research/sdk56-reference,19552,346079090
.trellis/tasks/09-05-rn-expo-new-architecture/research/sdk57-preparation.md,retired-incremental-materials-20260909/research/sdk57-preparation.md,1,26259
