path,index_status,worktree_status,exists,bytes,group,github_recommendation
.claude/skills/cymusic-plugin-dev/SKILL.md,unchanged,unchanged,True,22893,.claude,原有音源插件开发知识；建议保留
.claude/skills/cymusic-plugin-dev/references/lxmusic-compat.md,unchanged,unchanged,True,4422,.claude,原有音源插件开发知识；建议保留
.claude/skills/cymusic-plugin-dev/references/plugin-protocol.md,unchanged,unchanged,True,8055,.claude,原有音源插件开发知识；建议保留
.claude/skills/cymusic-plugin-dev/references/plugin-template.md,unchanged,unchanged,True,12179,.claude,原有音源插件开发知识；建议保留
.claude/skills/cymusic-plugin-dev/references/site-analysis.md,unchanged,unchanged,True,10044,.claude,原有音源插件开发知识；建议保留
.eslintignore,unchanged,unchanged,True,342,(root),应用源码/资源/原生工程/构建或项目文档，建议保留
.eslintrc.json,unchanged,unchanged,True,627,(root),应用源码/资源/原生工程/构建或项目文档，建议保留
.github/workflows/build-ios.yml,unchanged,modified,True,2412,.github,应用源码/资源/原生工程/构建或项目文档，建议保留
.gitignore,unchanged,modified,True,855,(root),应用源码/资源/原生工程/构建或项目文档，建议保留
.idea/.gitignore,unchanged,deleted,False,,.idea,保留已有删除；个人IDE文件不建议重新加入
.idea/codeStyles/Project.xml,unchanged,deleted,False,,.idea,保留已有删除；个人IDE文件不建议重新加入
.idea/codeStyles/codeStyleConfig.xml,unchanged,deleted,False,,.idea,保留已有删除；个人IDE文件不建议重新加入
.idea/inspectionProfiles/Project_Default.xml,unchanged,deleted,False,,.idea,保留已有删除；个人IDE文件不建议重新加入
.idea/modules.xml,unchanged,deleted,False,,.idea,保留已有删除；个人IDE文件不建议重新加入
.idea/music-player-master.iml,unchanged,deleted,False,,.idea,保留已有删除；个人IDE文件不建议重新加入
.idea/vcs.xml,unchanged,deleted,False,,.idea,保留已有删除；个人IDE文件不建议重新加入
.prettierignore,unchanged,unchanged,True,42,(root),应用源码/资源/原生工程/构建或项目文档，建议保留
.prettierrc,unchanged,unchanged,True,165,(root),应用源码/资源/原生工程/构建或项目文档，建议保留
.vscode/settings.json,unchanged,unchanged,True,764,.vscode,可选团队编辑器配置
1024.png,unchanged,unchanged,True,94160,(root),应用源码/资源/原生工程/构建或项目文档，建议保留
LICENSE,unchanged,unchanged,True,11357,(root),应用源码/资源/原生工程/构建或项目文档，建议保留
README.md,unchanged,modified,True,11406,(root),应用源码/资源/原生工程/构建或项目文档，建议保留
app.json,unchanged,modified,True,1557,(root),应用源码/资源/原生工程/构建或项目文档，建议保留
assets/.fake-audio.mp3.md5,unchanged,unchanged,True,64,assets,应用源码/资源/原生工程/构建或项目文档，建议保留
assets/1024.png,unchanged,unchanged,True,94160,assets,应用源码/资源/原生工程/构建或项目文档，建议保留
assets/144.png,unchanged,unchanged,True,5718,assets,应用源码/资源/原生工程/构建或项目文档，建议保留
assets/adaptive-icon.png,unchanged,unchanged,True,17547,assets,应用源码/资源/原生工程/构建或项目文档，建议保留
assets/data/library.json,unchanged,unchanged,True,3676,assets,应用源码/资源/原生工程/构建或项目文档，建议保留
assets/fake-audio.mp3,unchanged,unchanged,True,51248,assets,应用源码/资源/原生工程/构建或项目文档，建议保留
assets/fake-audio.mp3.md5,unchanged,unchanged,True,64,assets,应用源码/资源/原生工程/构建或项目文档，建议保留
assets/favicon.png,unchanged,unchanged,True,1466,assets,应用源码/资源/原生工程/构建或项目文档，建议保留
assets/icon.png,unchanged,unchanged,True,22380,assets,应用源码/资源/原生工程/构建或项目文档，建议保留
assets/local.png,unchanged,unchanged,True,12251,assets,应用源码/资源/原生工程/构建或项目文档，建议保留
assets/local1.png,unchanged,unchanged,True,79944,assets,应用源码/资源/原生工程/构建或项目文档，建议保留
assets/splash.png,unchanged,unchanged,True,82928,assets,应用源码/资源/原生工程/构建或项目文档，建议保留
assets/unknown_artist.png,unchanged,unchanged,True,6506,assets,应用源码/资源/原生工程/构建或项目文档，建议保留
assets/unknown_track.png,unchanged,unchanged,True,33912,assets,应用源码/资源/原生工程/构建或项目文档，建议保留
babel.config.js,unchanged,modified,True,154,(root),应用源码/资源/原生工程/构建或项目文档，建议保留
ios/.gitignore,unchanged,unchanged,True,321,ios,应用源码/资源/原生工程/构建或项目文档，建议保留
ios/.xcode.env,unchanged,unchanged,True,482,ios,应用源码/资源/原生工程/构建或项目文档，建议保留
ios/CyMusic.xcodeproj/project.pbxproj,unchanged,modified,True,32968,ios,应用源码/资源/原生工程/构建或项目文档，建议保留
ios/CyMusic.xcodeproj/xcshareddata/xcschemes/CyMusic.xcscheme,unchanged,unchanged,True,3270,ios,应用源码/资源/原生工程/构建或项目文档，建议保留
ios/CyMusic.xcworkspace/contents.xcworkspacedata,unchanged,unchanged,True,225,ios,应用源码/资源/原生工程/构建或项目文档，建议保留
ios/CyMusic/AppDelegate.h,unchanged,deleted,False,,ios,已有删除；旧入口/旧补丁/npm锁的删除与对应替代一并审查
ios/CyMusic/AppDelegate.mm,unchanged,deleted,False,,ios,已有删除；旧入口/旧补丁/npm锁的删除与对应替代一并审查
