path,status,github_recommendation
.agent/skills/trellis-before-dev/SKILL.md,untracked,可选平台协作配置：选择实际使用的平台，不必全部提交
.agent/skills/trellis-brainstorm/SKILL.md,untracked,可选平台协作配置：选择实际使用的平台，不必全部提交
.agent/skills/trellis-break-loop/SKILL.md,untracked,可选平台协作配置：选择实际使用的平台，不必全部提交
.agent/skills/trellis-channel/SKILL.md,untracked,可选平台协作配置：选择实际使用的平台，不必全部提交
.agent/skills/trellis-channel/references/command-reference.md,untracked,可选平台协作配置：选择实际使用的平台，不必全部提交
.agent/skills/trellis-channel/references/forum.md,untracked,可选平台协作配置：选择实际使用的平台，不必全部提交
.agent/skills/trellis-channel/references/progress-debugging.md,untracked,可选平台协作配置：选择实际使用的平台，不必全部提交
.agent/skills/trellis-channel/references/workers.md,untracked,可选平台协作配置：选择实际使用的平台，不必全部提交
.agent/skills/trellis-channel/references/workflows.md,untracked,可选平台协作配置：选择实际使用的平台，不必全部提交
.agent/skills/trellis-check/SKILL.md,untracked,可选平台协作配置：选择实际使用的平台，不必全部提交
.agent/skills/trellis-meta/SKILL.md,untracked,可选平台协作配置：选择实际使用的平台，不必全部提交
.agent/skills/trellis-meta/references/customize-local/add-project-local-conventions.md,untracked,可选平台协作配置：选择实际使用的平台，不必全部提交
.agent/skills/trellis-meta/references/customize-local/change-agents.md,untracked,可选平台协作配置：选择实际使用的平台，不必全部提交
.agent/skills/trellis-meta/references/customize-local/change-context-loading.md,untracked,可选平台协作配置：选择实际使用的平台，不必全部提交
.agent/skills/trellis-meta/references/customize-local/change-hooks.md,untracked,可选平台协作配置：选择实际使用的平台，不必全部提交
.agent/skills/trellis-meta/references/customize-local/change-skills-or-commands.md,untracked,可选平台协作配置：选择实际使用的平台，不必全部提交
.agent/skills/trellis-meta/references/customize-local/change-spec-structure.md,untracked,可选平台协作配置：选择实际使用的平台，不必全部提交
.agent/skills/trellis-meta/references/customize-local/change-task-lifecycle.md,untracked,可选平台协作配置：选择实际使用的平台，不必全部提交
.agent/skills/trellis-meta/references/customize-local/change-workflow.md,untracked,可选平台协作配置：选择实际使用的平台，不必全部提交
