path,category,git_mode,working_tree_presence,note
.claude/skills/cymusic-plugin-dev/SKILL.md,.claude/,100644,present,
.claude/skills/cymusic-plugin-dev/references/lxmusic-compat.md,.claude/,100644,present,
.claude/skills/cymusic-plugin-dev/references/plugin-protocol.md,.claude/,100644,present,
.claude/skills/cymusic-plugin-dev/references/plugin-template.md,.claude/,100644,present,
.claude/skills/cymusic-plugin-dev/references/site-analysis.md,.claude/,100644,present,
.eslintignore,根目录,100755,present,
.eslintrc.json,根目录,100755,present,
.github/workflows/build-ios.yml,.github/,100644,present,
.gitignore,根目录,100755,present,
.idea/.gitignore,.idea/,100644,missing,用户原有未暂存删除；仍在提交树中
.idea/codeStyles/Project.xml,.idea/,100644,missing,用户原有未暂存删除；仍在提交树中
.idea/codeStyles/codeStyleConfig.xml,.idea/,100644,missing,用户原有未暂存删除；仍在提交树中
.idea/inspectionProfiles/Project_Default.xml,.idea/,100644,missing,用户原有未暂存删除；仍在提交树中
.idea/modules.xml,.idea/,100644,missing,用户原有未暂存删除；仍在提交树中
.idea/music-player-master.iml,.idea/,100644,missing,用户原有未暂存删除；仍在提交树中
.idea/vcs.xml,.idea/,100644,missing,用户原有未暂存删除；仍在提交树中
.prettierignore,根目录,100755,present,
.prettierrc,根目录,100755,present,
.trellis/spec/frontend/native-upgrade-contracts.md,.trellis/,100644,present,本轮沉淀的共享原生契约
.vscode/settings.json,.vscode/,100755,present,
1024.png,根目录,100755,present,
LICENSE,根目录,100644,present,
README.md,根目录,100755,present,
app.json,根目录,100755,present,
assets/.fake-audio.mp3.md5,assets/,100644,present,
assets/1024.png,assets/,100755,present,
assets/144.png,assets/,100755,present,
assets/adaptive-icon.png,assets/,100755,present,
assets/data/library.json,assets/,100755,present,
assets/fake-audio.mp3,assets/,100755,present,
assets/fake-audio.mp3.md5,assets/,100644,present,
assets/favicon.png,assets/,100755,present,
assets/icon.png,assets/,100755,present,
assets/local.png,assets/,100644,present,
assets/local1.png,assets/,100755,present,
assets/splash.png,assets/,100644,present,
assets/unknown_artist.png,assets/,100755,present,
assets/unknown_track.png,assets/,100755,present,
babel.config.js,根目录,100755,present,
docs/audit/2026-09-09/audio-analysis.md,docs/,100644,present,2026-09-09 历史审计快照
